REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
PK-BKU,A 320,16:21,17:27,A2,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-S16,G 500,5:05,7:08,B4,RE04,RJBB,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GMW,B 738,16:31,17:25,B4,,WIEE,GA 0331,GA 0166,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAJ,A 320,8:38,9:37,B2,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GFF,B 738,21:58,,B3,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-274,,,,,,,,,,,,,,True,B742,TRIGANA,CARGO,B11
PK-FJA,ATR 72,7:42,8:20,B2,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-94,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B13
SYNTH-12,,,,,,,,,,,,,,True,ATR42,GARUDA,COMMERCIAL,B2
PK-LUI,A 320,16:22,19:08,B6,WARR,WIPP,ID 7514,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQK,A 320,12:04,12:46,A3,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-NMI,B 733,19:18,21:25,B11,WIOO,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-36,,,,,,,,,,,,,,True,CL604,KARISMA,CHARTER,B3
PK-YRD,B 733,11:25,13:34,B12,WAGG,WIKK,IL 714,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-NMI,B 733,19:05,21:32,B8,WAOO,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
VP-CLL,EMB 135,21:40,22:00,B6,WSSL,RE01,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-274,,,,,,,,,,,,,,True,B742,TRI MG,CARGO,B11
PK-OTR,ATR 72,17:41,19:08,A1,WIDM,SA05,RI 151,,TAS,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-303,,,,,,,,,,,,,,True,B350,JETSET,CHARTER,B1
PK-PAH,ATR 72,16:16,21:10,A2,WIDM,B3,IP 7301,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKU,A 320,16:12,19:25,B7,WARR,WIPP,ID 7514,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GQA,A 320,21:15,,B9,WADD,,QG 0197,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-199,,,,,,,,,,,,,,True,B733,JIP,CHARTER,B5
PK-PAH,ATR 72,16:35,17:33,B5,WIDM,RE03,IP 7301,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUV,A 320,18:10,18:49,B7,WARR,WARR,ID 7512,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-808,G VI,6:25,6:59,B3,SA07,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-415,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A1
SYNTH-70,,,,,,,,,,,,,,True,MD11,CITILINK CARGO,CARGO,B13
PK-KAS,CL 850,17:58,18:39,B4,WADD,SA06,CJS 31,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUS,A 320,21:19,,A3,WARR,,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BLA,A 320,8:48,9:32,B1,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQS,A 320,12:20,12:57,A2,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-454,,,,,,,,,,,,,,True,B733,CITILINK CARGO,CARGO,B8
PK-LAO,A 320,8:46,9:38,B1,WIPP,WARR,ID 7056,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-56,,,,,,,,,,,,,,True,B742,CITILINK CARGO,CARGO,B13
PK-GQQ,A 320,21:20,,A3,WIMM,,QG 0025,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-279,,,,,,,,,,,,,,True,CL850,TAS,CHARTER,B7
PK-LUI,A 320,18:49,20:17,B6,WARR,WIPP,ID 7512,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GFX,B 738,16:44,17:33,B2,WARR,WIEE,GA 0331,GA 0166,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-256,,,,,,,,,,,,,,True,C404,PTN,CHARTER,B6
PK-THT,ATR 42,17:54,18:36,A3,WAAA,RW09,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-512,,,,,,,,,,,,,,True,A320,FLY JAYA,COMMERCIAL,A2
T7-808,G VI,11:17,12:19,B4,A1,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BON,G IV,15:39,16:46,B3,WADD,RW04,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-777,BBJ,20:37,22:00,B4,WSSL,SA17,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-TWX,KING AIR,15:47,16:12,B1,WAHH,HGR,,,TRANSWISATA,CHARTER,STANDARD,LOW_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKV,A 320,23:02,,B10,WARR,,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GQI,A 320,15:55,16:39,B1,WARA,WIMM,QG 0165,QG 0022,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUS,A 320,18:37,19:22,A2,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAO,A 320,8:12,8:57,B1,WIPP,WAHQ,ID 7056,ID 7041,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,11:00,14:25,B12,WAGG,WIKK,IL 714,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GQL,A 320,14:20,14:53,B2,WIPP,WARR,QG 0089,QG 0174,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-417,,,,,,,,,,,,,,True,CRV,B.B.N AIRLINES,CARGO,B9
SYNTH-295,,,,,,,,,,,,,,True,CL850,TAS,CHARTER,B2
SYNTH-142,,,,,,,,,,,,,,True,CL850,PTN,CHARTER,B4
T7-MEL,GLEX,20:16,23:30,B3,HGR,RKSS,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-244,,,,,,,,,,,,,,True,MD11,B.B.N AIRLINES,CARGO,B12
SYNTH-208,,,,,,,,,,,,,,True,G IV,TAS,CHARTER,B5
PK-JRB,B 733,11:56,14:01,B13,WIKK,WAGG,,,JAYAWIJAYA,CARGO,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-165,,,,,,,,,,,,,,True,CL850,PREMI,CHARTER,B4
PK-LUW,A 320,21:49,,B3,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-166,,,,,,,,,,,,,,True,CL850,BIOMANTARA,CHARTER,B4
N-11UB,GLEX,19:57,21:22,B3,YMML,SA07,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-977,G IV,23:10,,B4,WAAA,,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,19:38,22:41,B11,WIDN,WAAA,IL 718,IL 721,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-87,,,,,,,,,,,,,,True,CRV,AIRNESIA,CARGO,B13
SYNTH-63,,,,,,,,,,,,,,True,A321,BATIK AIR,COMMERCIAL,A3
SYNTH-522,,,,,,,,,,,,,,True,MD11,AIRNESIA,CARGO,A3
T7-TUN,HK 850,17:51,18:31,B4,WSSL,NSA14,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUU,A 320,22:30,,A3,B7,,,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-666,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,B5
PK-NMI,B 733,10:51,13:11,B13,WIOO,WAOO,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GNN,B 738,16:44,17:40,B4,WARR,WADD,GA 0331,GA 0462,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YSH,B 733,20:18,22:18,B12,WIOO,WAAA,IL 742,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJT,ATR 72,13:10,13:46,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-29,,,,,,,,,,,,,,True,PC6,SUSI AIR,COMMERCIAL,A0
SYNTH-266,,,,,,,,,,,,,,True,B738,CITILINK,COMMERCIAL,B2
PK-MBA,B 733,20:15,21:52,B12,,WIMM,-,GM 171,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-78,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,A0
PK-JCO,PH 300,10:03,10:23,B3,WARR,NSA15,,,PURAWISATA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUQ,A 320,10:39,11:21,A3,WIPP,WAHQ,ID 7054,ID 7531,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJV,ATR 72,8:55,9:38,B1,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-MGZ,B 733,10:52,21:24,B11,WALL,WIMM,GM 030,GM 171,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUK,A 320,7:47,12:49,A1,WIBB,WAHI,ID 7066,ID 7539,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GJT,ATR 72,16:55,,A2,WAHH,,QG 1105,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
N-117LR,LJ 55,9:16,9:43,B6,WAGI,NSA14,,,B. G. S.,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAM,A 320,16:18,17:00,A2,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-160,,,,,,,,,,,,,,True,G IV,TAS,CHARTER,B4
PK-NMI,B 733,5:55,8:15,B11,WIMM,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-22,,,,,,,,,,,,,,True,B742,JAYAWIJAYA,CARGO,B13
PK-GFG,B 738,21:55,,B2,WARR,,GA 3354,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-DJV,HK 900,5:45,7:15,B5,NSA12,WAHS,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUP,A 320,13:31,14:22,B7,WADD,WIEE,ID 7308,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKJ,A 320,12:31,13:25,B7,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BKY,A 320,21:18,,B4,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
N-2409K,HK 800,19:39,20:13,B4,WALS,NSA07,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,11:50,16:06,B13,WIDN,WIKK,IL 7181,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJT,ATR 72,8:52,9:44,B1,,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BVX,AVANTI,12:55,15:17,A0,B6,WICN,,,SUSI AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YRD,B 733,16:33,20:48,B11,WALL,WIMM,IL 728,IL 701,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-CEO,HK 800,9:37,16:15,A2,A3,RW07,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAJ,A 320,17:23,19:02,B8,WARR,WIPP,ID 7514,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-337,,,,,,,,,,,,,,True,G IV,JIP,CHARTER,A1
PK-TVM,ATR 72,4:12,6:02,B6,HGR,WIDM,,,TRAVIRA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YSH,B 733,18:28,22:04,B12,WIDN,WAAA,IL 718,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-NMI,B 733,4:05,8:10,B10,WAAA,WAAA,,,AIRNESIA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
T7-J3T,G V,13:50,15:11,B4,WSSL,WSSL,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-MGZ,B 733,5:06,6:39,B13,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-YST,B 733,4:45,5:57,B10,WIMM,WAGG,IL 702,IL 711,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-MBM,B 733,9:36,12:24,B13,WBKK,HGR,,,BLACKSTONE,CHARTER,STANDARD,LOW_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUQ,A 320,19:30,,B7,WIPP,,ID 7058,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-DJV,HK 900,14:37,15:19,B4,WSSL,HGR,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GFI,B 738,12:55,,B2,WIMM,,GA 0181,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-J3T,G V,18:51,19:41,B5,WAHI,HGR,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-IDR,CL 850,16:58,17:37,B3,WSSL,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUZ,A 320,21:52,,B1,WADD,,ID 7310,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-541,,,,,,,,,,,,,,True,ATR72,PELITA,COMMERCIAL,B2
PK-LUY,A 320,15:27,16:13,A1,WAHI,WIPP,ID 7538,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-SUSI-328,,,,,,,,,,,,,,True,C206,SUSI AIR,COMMERCIAL,A0
SYNTH-660,,,,,,,,,,,,,,True,B738,PELITA,COMMERCIAL,B6
SYNTH-500,,,,,,,,,,,,,,True,A320,PELITA,COMMERCIAL,B1
PK-LUS,A 320,16:05,18:07,B6,WAHI,WARR,ID 7538,ID 7519,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-88,,,,,,,,,,,,,,True,B738,BATIK AIR,COMMERCIAL,A3
PK-GNG,B 738,22:27,,B1,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQL,A 320,10:05,10:59,B1,WARR,WIPP,QG 0171,QG 0088,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-136,,,,,,,,,,,,,,True,DC10,AIRNESIA,CARGO,B13
PK-LAI,A 320,20:44,21:31,B1,WADD,WARR,ID 7310,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-PAH,ATR 72,20:28,,A3,B3,,,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YST,B 733,11:34,,B13,WIDN,,IL 718,,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GFG,B 738,21:21,,B1,WARR,,GA 3354,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUP,A 320,12:10,13:16,B1,WARR,WAHS,ID 7516,ID 7557,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-125,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,A0
N-11UB,GLEX,19:08,19:56,B3,WSSL,SA16,,,PTN,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUG,A 320,6:13,7:05,A3,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUT,A 320,11:33,12:24,A1,WAHI,WARR,ID 7540,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-267,,,,,,,,,,,,,,True,A321,BATIK AIR,COMMERCIAL,A2
SYNTH-186,,,,,,,,,,,,,,True,G IV,JIP,CHARTER,B5
SYNTH-486,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,B1
PK-BON,G IV,6:25,7:41,B5,WIII,WAMP,,CJS 54,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAL,A 320,14:03,14:59,B2,WADD,WIEE,ID 7308,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
