REGISTRATION,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND,IS_SYNTHETIC
SYNTH-69,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-70,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-71,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-72,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-73,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-74,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-75,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-76,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-77,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-78,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-79,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-80,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-81,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-82,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-83,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-84,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-85,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-86,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-87,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-88,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-89,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-90,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-91,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-92,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-93,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-94,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-95,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-96,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-97,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-98,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-99,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-100,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-101,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-102,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-103,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-104,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-105,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-106,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-107,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-108,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-109,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-110,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-111,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-112,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-113,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-114,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-115,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-116,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-117,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-118,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-119,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-120,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-121,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-122,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-123,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-124,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-125,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-126,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-127,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-128,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-129,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-130,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-131,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-132,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-133,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-134,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-135,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-136,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-137,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-138,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-139,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-140,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-141,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-142,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-143,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-144,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-145,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-146,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-147,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-148,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-149,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-150,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-151,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-152,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-153,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-154,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-155,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-156,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-157,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-158,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-159,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-160,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-161,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-162,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-163,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-164,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-165,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-166,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-167,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-168,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-169,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-170,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-171,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-172,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-173,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-174,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-175,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-176,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-177,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-178,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-179,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-180,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-181,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-182,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-183,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-184,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-185,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-186,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-187,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-188,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-189,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-190,ATR72,BATIK AIR,COMMERCIAL,A3,True
SYNTH-191,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-192,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-193,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-194,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-195,B738,BATIK AIR,COMMERCIAL,A3,True
SYNTH-196,A320,BATIK AIR,COMMERCIAL,A3,True
SYNTH-197,A321,BATIK AIR,COMMERCIAL,A3,True
SYNTH-198,ATR42,BATIK AIR,COMMERCIAL,A3,True
SYNTH-199,B737,BATIK AIR,COMMERCIAL,A3,True
SYNTH-200,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-201,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-202,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-203,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-204,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-205,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-206,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-207,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-208,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-209,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-210,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-211,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-212,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-213,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-214,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-215,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-216,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-217,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-218,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-219,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-220,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-221,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-222,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-223,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-224,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-225,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-226,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-227,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-228,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-229,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-230,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-231,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-232,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-233,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-234,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-235,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-236,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-237,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-238,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-239,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-240,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-241,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-242,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-243,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-244,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-245,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-246,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-247,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-248,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-249,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-250,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-251,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-252,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-253,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-254,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-255,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-256,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-257,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-258,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-259,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-260,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-261,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-262,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-263,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-264,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-265,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-266,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-267,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-268,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-269,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-270,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-271,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-272,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-273,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-274,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-275,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-276,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-277,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-278,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-279,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-280,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-281,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-282,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-283,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-284,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-285,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-286,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-287,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-288,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-289,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-290,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-291,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-292,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-293,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-294,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-295,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-296,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-297,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-298,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-299,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-300,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-301,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-302,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-303,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-304,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-305,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-306,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-307,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-308,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-309,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-310,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-311,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-312,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-313,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-314,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-315,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-316,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-317,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-318,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-319,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-320,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-321,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-322,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-323,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-324,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-325,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-326,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-327,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-328,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-329,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-330,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-331,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-332,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-333,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-334,ATR72,BATIK AIR,COMMERCIAL,A2,True
SYNTH-335,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-336,B738,BATIK AIR,COMMERCIAL,A2,True
SYNTH-337,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-338,A320,BATIK AIR,COMMERCIAL,A2,True
SYNTH-339,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-340,A321,BATIK AIR,COMMERCIAL,A2,True
SYNTH-341,B737,BATIK AIR,COMMERCIAL,A2,True
SYNTH-342,ATR42,BATIK AIR,COMMERCIAL,A2,True
SYNTH-343,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-344,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-345,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-346,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-347,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-348,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-349,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-350,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-351,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-352,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-353,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-354,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-355,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-356,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-357,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-358,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-359,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-360,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-361,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-362,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-363,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-364,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-365,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-366,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-367,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-368,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-369,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-370,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-371,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-372,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-373,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-374,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-375,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-376,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-377,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-378,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-379,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-380,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-381,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-382,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-383,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-384,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-385,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-386,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-387,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-388,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-389,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-390,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-391,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-392,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-393,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-394,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-395,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-396,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-397,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-398,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-399,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-400,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-401,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-402,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-403,B738,BATIK AIR,COMMERCIAL,A1,True
SYNTH-404,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-405,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-406,B737,BATIK AIR,COMMERCIAL,A1,True
SYNTH-407,ATR42,BATIK AIR,COMMERCIAL,A1,True
SYNTH-408,ATR72,BATIK AIR,COMMERCIAL,A1,True
SYNTH-409,A320,BATIK AIR,COMMERCIAL,A1,True
SYNTH-410,A321,BATIK AIR,COMMERCIAL,A1,True
SYNTH-411,ATR72,BATIK AIR,COMMERCIAL,A1,True
